"name","party","candidate_url","biography","phone","photo_url","filed_mailing_address_location_name","filed_mailing_address_state","filed_mailing_address_line1","filed_mailing_address_line3","filed_mailing_address_line2","filed_mailing_address_zip","filed_mailing_address_city","email","sort_order","id"
"MICHAEL IHLE","R","","","","","","WV","JACKSON CO","","","","RAVENSWOOD","","5067","54610005067"
"MICHAEL L. "MIKE" QUEEN","R","","","","","","WV","HARRISON CO","","","","BRIDGEPORT","","5031","54610005031"
"MICHAEL RAY","L","","","","","","WV","MARION CO","","","","FAIRMONT","","4986","54610004986"
"MICHEL G. MOFFATT","R","","","","","","WV","PUTNAM CO","","","","HURRICANE","","5098","54610005098"
"MICK BATES","D","","","","","","WV","RALEIGH CO","","","","BECKLEY","","5135","54610005135"
"MIKE AZINGER","R","","","","","","WV","WOOD CO","","","","PARKERSBURG","","5302","54610005302"
"MIKE CAPUTO","D","","","","","","WV","MARION CO","","","","RIVESVILLE","","5217","54610005217"
"MIKE COCHRANE","D","","","","","","WV","WYOMING CO","","","","PINEVILLE","","5279","54610005279"
"MIKE FERRO","D","","","","","","WV","MARSHALL CO","","","","MCMECHEN","","5294","54610005294"
"MIKE FISHER","C1","","","","","","WV","KANAWHA CO","","","","ELKVIEW","","5323","54610005323"
"MIKE GREEN","D","","","","","","WV","RALEIGH CO","","","","DANIELS","","5025","54610005025"
"MIKE HALL","R","","","","","","WV","PUTNAM CO","","","","WINFIELD","","5016","54610005016"
"MIKE MANYPENNY","D","","","","","","WV","TAYLOR CO","","","","GRAFTON","","5213","54610005213"
"MIKE PUSHKIN","D","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5174","54610005174"
"MIKE ROMANO","D","","","","","","WV","HARRISON CO","","","","BRIDGEPORT","","5032","54610005032"
"MIKE WOELFEL","D","","","","","","WV","CABELL CO","","","","HUNTINGTON","","5018","54610005018"
"NANCY GUTHRIE","D","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5165","54610005165"
"NANCY JAMISON","D","","","","","","WV","MONONGALIA CO","","","","MAIDSVILLE","","5233","54610005233"
"NATALIE TENNANT","D","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5002","54610005002"
"NICK CASEY","D","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5006","54610005006"
"NICK J. RAHALL, II","D","","","","","","WV","RALEIGH CO","","","","BECKLEY","","5009","54610005009"
"NORMAN   LEE ALDERMAN","R","","","","","","WV","POCAHONTAS CO","","","","MARLINTON","","5195","54610005195"
"ORVILLE G. WRIGHT","D","","","","","","WV","TAYLOR CO","","","","FAIRMONT","","5248","54610005248"
"PAT BOYLE","D","","","","","","WV","LEWIS CO","","","","JANE LEW","","5151","54610005151"
"PAT MCGEEHAN","R","","","","","","WV","HANCOCK CO","","","","CHESTER","","5286","54610005286"
"PATRICIA RUCKER","R","","","","","","WV","JEFFERSON CO","","","","HARPERS FERRY","","5268","54610005268"
"PATRICK E. DARLINGTON","R","","","","","","WV","TUCKER CO","","","","PARSONS","","5254","54610005254"
"PATRICK LANE","R","","","","","","WV","KANAWHA CO","","","","CROSS LANES","","5176","54610005176"
