"ballot_id","candidate_id","sort_order"
"130","10967",""
"111","10955",""
"140","10938",""
"261","10420",""
"402","10234",""
"52","10487",""
"123","10942",""
"119","10354",""
"169","10939",""
"254","10941",""
"73","10288",""
"94","10534",""
"135","10937",""
"31","10347",""
"133","10614",""
"156","10505",""
"173","10940",""
"69","10039",""
"413","10938",""
"412","10941",""
"49","10063",""
"369","10937",""
"193","10455",""
"393","10938",""
"91","10937",""
"289","10940",""
"262","10941",""
"79","10207",""
"255","10938",""
"372","10940",""
"313","10941",""
"168","10942",""
"30","10809",""
"128","10457",""
"205","10383",""
"273","10369",""
"12","10937",""
"134","10940",""
"210","10940",""
"183","10941",""
"66","10513",""
"101","10488",""
"297","10370",""
"334","10938",""
"343","10940",""
"117","10354",""
"15","10937",""
"240","10939",""
"131","10940",""
"104","10941",""
"32","10967",""
"423","10937",""
"422","10940",""
"88","10441",""
"293","10937",""
"319","10939",""
"25","10941",""
"54","10937",""
"90","10939",""
"53","10940",""
"175","10941",""
"89","10942",""
"124","10690",""
"213","10466",""
"358","10939",""
"26","10027",""
"191","10458",""
"339","10741",""
"179","10942",""
"73","10283",""
"68","10937",""
"13","10939",""
"213","10941",""
"151","10967",""
"170","10967",""
"227","10967",""
"284","10967",""
"141","10434",""
"306","10428",""
"156","10937",""
"136","10070",""
"45","10621",""
"367","10328",""
"133","10455",""
"414","10942",""
"167","10054",""
"10","10783",""
"127","10232",""
"409","10747",""
"17","10642",""
"139","10967",""
"112","10831",""
"281","10941",""
"12","10474",""
"52","10043",""
"134","10618",""
"236","10706",""
"14","10314",""
"46","10141",""
"218","10496",""
"400","10330",""
"315","10391",""
"101","10761",""
"144","10107",""
"188","10391",""
"242","10463",""
"239","10939",""
"36","10538",""
"253","10337",""
"401","10937",""
"234","10217",""
"252","10675",""
"38","10938",""
"243","10940",""
"72","10967",""
"363","10967",""
"21","10897",""
"40","10746",""
"72","10416",""
"65","10706",""
"347","10612",""
"325","10937",""
"394","10967",""
"92","10939",""
"51","10967",""
"134","10402",""
"237","10939",""
"294","10941",""
"131","10736",""
"290","10011",""
"165","10937",""
"110","10939",""
"116","10941",""
"238","10942",""
"113","10553",""
"400","10940",""
"99","10287",""
"244","10937",""
"391","10937",""
"37","10941",""
"143","10827",""
"312","10937",""
"323","10937",""
"311","10940",""
"322","10940",""
"267","10942",""
"104","10877",""
"215","10941",""
"331","10352",""
"318","10939",""
"188","10942",""
"317","10942",""
"56","10733",""
"308","10567",""
"117","10938",""
"221","10940",""
"98","10791",""
"364","10938",""
"303","10940",""
"344","10942",""
"71","10291",""
"249","10815",""
"321","10273",""
"331","10314",""
"337","10939",""
"373","10967",""
"21","10942",""
"76","10401",""
"96","10521",""
"257","10453",""
"171","10939",""
"415","10942",""
"240","10075",""
"261","10939",""
"193","10284",""
"266","10939",""
"345","10939",""
"76","10940",""
"74","10641",""
"84","10682",""
"85","10451",""
"38","10589",""
